co_num;co_name;co_title;co_region;co_career;co_education;co_salary;co_skill;co_work;co_prefer;co_dday;co_ceo;co_establish;co_type;co_employee;co_sector;co_website
47;(주)이지서티;(주)이지서티 C/C++ 직군 경력 우대채용;서울 강남구;신입, 경력;대졸(4년제) 이상;면접 후 결정;c, c++, c#;c 개발 업무;컴퓨터활용능력 우수, 인근거주자, 문서작성 우수자;상시 채용;심기창;2001년 11월 24일;중소기업;54;시스템 소프트웨어 개발 및 공급업;www.easycerti.com
48;세기미래기술(주);C/C++/JAVA 소프트웨어 개발자 채용;서울 금천구;경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;c/c++를 활용한 전기·전자·제어 소프트웨어 개발, 유지보수 업무;유관업무 경험자(인턴, 알바);상시 채용;전병덕;1999년 01월 02일;중소기업;20;배전반 및 전기 자동제어반 제조업;www.segi21.com
49;(주)씽크소프트;개발자 채용 자동화 물류/반송 설비 PC제어 S/W 개발 신입 경력;충남 아산시;신입, 경력;학력 무관;면접 후 결정;c#;자동화 설비 PC 제어 솔루션 개발 및 셋업;전기/전자공학, 컴퓨터/시스템공학 전공자, 해당직무 근무, 현장학습 등 경험자;2024.01.17;박주현;2017년 05월 22일;중소기업;18;시스템 소프트웨어 개발 및 공급업;www.think-soft.co.kr
50;(주)넷커스터마이즈;임베디드 SW개발자;대전 유성구;신입, 경력;학력 무관;회사내규에 따름;c, c++;c/c++ 임베디드 소프트웨어 설계 및 개발, 소프트웨어 품질 시험;프로젝트 팀원과의 협력 및 공동 개발이 가능한 자, 고객과의 기술회의 및 인터페이스가 좋은 인력;상시 채용;안명수;2000년 01월 14일;중소기업;71;응용 소프트웨어 개발 및 공급업;www.netcus.com
51;(주)인젠트;데이터플랫폼팀_DBMS 관리 솔루션 개발자 채용;서울 영등포구;경력;대졸(4년제) 이상;회사내규의 따름;c++;DBMS 관리 솔루션 개발 및 유지보수;Java,C,C++ 개발 경험자;상시 채용;남석우;2000년 07월 21일;중소기업;262;응용 소프트웨어 개발 및 공급업;www.inzent.com
52;(주)삼원테크;기술연구소 S/W;경기 부천시;신입, 경력;대졸(4년제) 이상;회사내규에 따름;c++;소프트웨어 개발;임베디드 리눅스 기반 개발 경험자, 비흡연자;2024.01.31;이영익;1998년 12월 10일;중소기업;44;산업처리공정 제어장비 제조업;www.samwontech.com
53;(주)리스너;(현대모비스 충주공장) 생산정보시스템 운영 인력 모집;충북 충주시;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c#;생산정보시스템(MES) 유지보수 및 운영 관리;컴퓨터/시스템공학, 공학계열 전공자, 정보처리기사 자격증 보유, 컴퓨터활용능력 우수, 인근 거주자, 해당직무 근무경험자, DB 개발 가능자;2024.02.08;김원, 최성천;2016년 06월 09일;중소기업;94;응용 소프트웨어 개발 및 공급업;www.lisner.co.kr
54;(주)넷커스터마이즈;신호처리 관련 FPGA Logic, 임베디드 SW 개발자;대전 유성구;신입, 경력;대졸(4년제) 이상;회사내규에 따름;c, c++;임베디드 SW 설계, FPGA Logic 개발 및 시험;신호처리 및 변복조 관련 시스템 개발자, 시스템에 대한 이해도가 높은 기술 인력;상시 채용;안명수;2000년 01월 14일;중소기업;71;응용 소프트웨어 개발 및 공급업;www.netcus.com
55;(주)소만사;[소만사] C++ 기반 정보보안 SW개발자;서울 영등포구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c++;제품군에 따른 정보보안 에이전트 개발;C++ 숙련, 오픈소스 프로젝트 활용 및 기여 경험;2024.02.20;김대환;1997년 03월 25일;중소기업;238;시스템 소프트웨어 개발 및 공급업;www.comansa.com
56;리스광시스템(주);[리스광시스템] 응용 S/W 개발직 모집;충북 청주시;신입, 경력;대졸(2,3년제) 이상;연봉 3000만원 이상;c, c++, c#;응용 SW UI, 자동화 검사장비제어 SW, Machine Vision SW 개발;C, C++, MFC, C# 프로그래밍 가능자, 동일직종 경력자;2024.02.14;이성훈;1999년 12월 07일;중소기업;45;기타 광학기기 제조업;www.leesos.com
