co_num;co_name;co_title;co_region;co_career;co_education;co_salary;co_skill;co_work;co_prefer;co_dday;co_ceo;co_establish;co_type;co_employee;co_sector;co_website
19;(주)에이블정보;C++ 서버/클라이언트 개발자;서울 서초구;경력;대졸(2,3년제) 이상;회사내규에 따름;c++, c#;c++ 서버프로그램 어플리케이션 개발;C++ 개발 경험이 있는 어플리케이션 개발자;상시 채용;전경용;2013년 01월 29일;중소기업;142;응용 소프트웨어 개발 및 공급업;www.ableinfo.co.kr
20;(주)나이콤;[신입/경력] S/W 개발자(.NET/C/C#/C++/JAVA) 인재 모집;경기 안양시;신입, 경력;학력 무관;면접 후 결정;c, c++, c#;c/c++ 기반 Window/Android APP, 장치 제어 및 GUI 개발;1개 이상 언어 능통자, 관련 학과 졸업자, 개발에 대한 전문 지식 및 알고리즘 이해도가 높은 분, 유관 부서와 원만한 소통 가능자;2024.01.26;김대영;2001년 08월 21일;중소기업;86;사무용 기계 및 장비 제조업;www.enicom.co.kr
21;(주)브레인즈랩;소프트웨어 개발직 채용;경남 진주시;신입, 경력;학력 무관;면접 후 결정;c#;무인기 관련 지상체 프로그램 개발, 배포 및 유지보수;UI/UX 개선 기획 경험자;2024.01.21;백한영;2019년 02월 27일;중소기업;8;유인 항공기, 항공우주선 및 보조장치 제조업;www.brainslab.kr
22;(주)인텔코리아;C#, C++, MFC (캐드 CAD / BIM / 게임) 개발자;서울 금천구;신입, 경력;학력 무관;면접 후 결정;c++, c#;CAD/BIM/게임 개발;컴퓨터/시스템공학, 수학/통계학, 정보처리기사, 영어가능자, 컴퓨터활용능력 우수, CAD/CAM능숙자, 이공계 석박사 졸업자;2024.02.07;박승훈;1995년 09월 13일;중소기업;35;응용 소프트웨어 개발 및 공급업;www.cadian.com
23;(주)디엠테크컨설팅;데이터 수집 S/W 개발자 채용(C++);경기 화성시;신입, 경력;학력 무관;면접 후 결정;c++;데이터 수집 SW 개발;SQL사용 경험자, 데이터 통신 프로토콜 가능자;상시 채용;황수정;2019년 11월 13일;중소기업;38;응용 소프트웨어 개발 및 공급업;www.스마트공장장.com
24;BNF테크놀로지(주);[시차출퇴근제] 소프트웨어(C++) 개발 모집;대전 유성구;신입, 경력;대졸(2,3년제) 이상;연봉 3160만원 이상;c++;윈도우/리눅스 기반 원자력 제어 및 감시 소프트웨어 개발;컴퓨터공학 전공자, 정보처리기사 자격 보유;2024.01.27;서호준;2000년 11월 10일;중소기업;77;응용 소프트웨어 개발 및 공급업;www.bnftech.com
25;(주)에스제이시스템;소프트웨어, 응용프로그램 개발 신입, 경력직원모집(함안 본사);경남 함안군;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;소프트웨어 응용프로그램 개발;영어가능자, 컴퓨터활용능력 우수, 인근 거주자;2024.03.15;이성열;2009년 11월 25일;중소기업;45;기타 반도체소자 제조업;www.sejinsys.com
26;(주)지비티코리아;MCU/펌웨어/임베디드/C/C++ 신입사원 채용;경기 군포시;신입;대졸(2,3년제) 이상;면접 후 결정;c, c++;회로 및 전장 펌웨어 설계;C/C++/펌웨어/임베디드/MCU 유관 경험자,PCB Artwork, 마이크로프로세서 경험자;2024.01.31;류선용;2002년 03월 22일;중소기업;31;기타 반도체소자 제조업;www.gbtkorea.com
27;(주)모은넷;기술 연구소 sw 개발자 채용(JAVA,C,C++);경기 수원시;신입, 경력;학력 무관;연봉 3500만원;c++, c#;운영서버 구축 및 c++/c# 기반 서버 응용프로그램 개발;SW관련 학과 졸업예정자, 정보처리기사 자격증 소지자;2024.02.04;송달섭;2012년 04월 10일;중소기업;15;응용 소프트웨어 개발 및 공급업;www.m-n.kr
28;(주)뷰온;C#, C++ 개발 경력자 모집 - 자동화 검사장비;서울 금천구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c++, c#;c++/c# 응용 프로그램 및 오픈소스 영상처리 라이브러리 사용한 DataBase 프로그램 개발;자동화 시스템 개발 경력자, 영상처리 시스템 개발 경력자, 머신비전 관련 분야 경력자, 국내외 출장 가능하신 분;2024.01.22;윤영욱;2018년 06월 19일;중소기업;37;기타 광학기기 제조업;www.view-on.com
29;대윤엔지니어링(주);C++/C#/MFC/Delphi 소프트웨어 개발자를 모집합니다;경북 구미시;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c++, c#;2차전지 관련 CIM, SMART FACTORY SOFTWARE 개발, SETUP, PC제어 소프트웨어 개발및 유지보수;2차전지 자동화 설비 유경험자, 전기/전자공학, 컴퓨터/시스템공학, 공학계열 전공자, 해당직무 근무경험자;2024.01.19;정연성;1996년 10월 31일;중소기업;15;응용 소프트웨어 개발 및 공급업;www.dataok.co.kr
30;참엔지니어링(주);참엔지니어링(주) 영상처리(Vision)개발 인재 채용(C++,C#);경기 용인시;신입, 경력;대졸(4년제) 이상;면접 후 결정;c++, c#;Refrernce 패턴영상 사용한위치 탐색 및 좌표 변환 알고리즘 개발, Repair 설비의 자동화를 위한 영상처리;영상처리 알고리즘(C#) 개발 경험자, 영상처리 라이브러리 경험자, 해외 근무 가능자;2024.02.09;이경희;1973년 10월 04일;중견기업;140;디스플레이 제조용 기계 제조업;www.charmeng.com
31;(주)드림시큐리티;보안기술연구소 암호기술연구소 개발자(C/C++) 채용;서울 성동구;신입, 경력;대졸(4년제) 이상;면접 후 결정;c, c++;암호 및 PKI 연구 개발;C,C++ 크로스 컴파일 경험자, IT 보안 관련 자격증 보유자;2024.01.20;범진규;2014년 06월 25일;중소기업;220;시스템 소프트웨어 개발 및 공급업;www.dreamsecurity.com
